"","Participant","decay","Optimal.Likelihood","AIC_thompson"
"1",1,0.525633568074786,265.56957232192,533.139144643839
"2",2,0.357166388929127,687.619136227462,1377.23827245492
"3",3,0.201626123751157,197.071535366961,396.143070733923
"4",4,0.291796067500631,528.102078862713,1058.20415772543
"5",5,0.737721051515032,272.708487475192,547.416974950385
"6",6,0.228691189820554,900.425231563479,1802.85046312696
"7",7,0.23606797749979,441.704404008279,885.408808016558
"8",8,0.511143428275647,292.142137246018,586.284274492035
"9",9,0.231376314967428,453.507617898601,909.015235797202
"10",10,0.23606797749979,300.547897653834,603.095795307668
"11",11,0.76393202250021,486.032897038283,974.065794076567
"12",12,0.854202276485016,607.160175650457,1216.32035130091
"13",13,0.736179104343335,172.786287001375,347.57257400275
"14",14,0.737416372506733,381.165904926295,764.33180985259
"15",15,0.241004420251562,371.409516613402,744.819033226805
"16",16,0.318637973038924,661.10797270403,1324.21594540806
"17",17,0.574706574975509,355.472196304609,712.944392609218
"18",18,0.381966011250105,318.177092761189,638.354185522378
"19",19,0.621139608765037,299.410605918686,600.821211837373
"20",20,0.494107572194321,238.715800508141,479.431601016282
"21",21,0.38151290739632,254.775924577768,511.551849155536
"22",22,0.194529878317814,349.14219948103,700.28439896206
"23",23,0.289442137657966,239.275913259864,480.551826519728
"24",24,0.23606797749979,342.741619271753,687.483238543507
"25",25,0.360533814261808,321.942419105838,645.884838211677
"26",26,0.378788533675706,292.092847942468,586.185695884936
"27",27,0.291796067500631,346.5593799816,695.118759963199
"28",28,0.370082193948327,297.924349199901,597.848698399803
"29",29,0.444372722182244,272.150858315693,546.301716631385
"30",30,0.764665159936068,584.419340295163,1170.83868059033
"31",31,0.381966011250105,426.037280606332,854.074561212664
"32",32,0.38405941589281,931.176787023051,1864.3535740461
"33",33,0.381966011250105,211.008461589333,424.016923178666
"34",34,0.299564914458593,418.323650041207,838.647300082415
"35",35,0.617927025439535,416.556101199519,835.112202399038
"36",36,0.760826402485068,213.904224555623,429.808449111247
"37",37,0.291796067500631,229.100662770803,460.201325541606
"38",38,0.833794159578854,304.020901797871,610.041803595741
"39",39,0.596468209130396,581.164362541422,1164.32872508284
"40",40,0.559847760877123,550.680906023493,1103.36181204699
"41",41,0.618033988749895,303.820911068152,609.641822136303
"42",42,0.239687332371915,820.758337465493,1643.51667493099
"43",43,0.432146828915813,736.067961583567,1474.13592316713
"44",44,0.382299351586346,544.267452044295,1090.53490408859
