"","mu1","mu2","choice","reward"
"256",-15,6,1,6
"257",-15,6,1,5
"258",-15,6,1,7
"259",-15,6,1,6
"260",-15,6,1,7
"261",-1,8,1,7
"262",-1,8,0,-2
"263",-1,8,1,8
"264",-1,8,1,8
"265",-1,8,1,9
"266",-1,8,1,8
"267",-1,8,1,7
"268",-1,8,1,10
"269",-1,8,1,8
"270",-1,8,1,9
"271",5,-14,1,-14
"272",5,-14,0,4
"273",5,-14,0,4
"274",5,-14,0,4
"275",5,-14,0,5
"276",5,-14,0,5
"277",5,-14,0,4
"278",5,-14,0,7
"279",5,-14,0,6
"280",5,-14,0,5
"281",15,0,0,14
"282",15,0,0,13
"283",15,0,0,14
"284",15,0,0,14
"285",15,0,0,15
"286",15,0,0,17
"287",15,0,0,16
"288",15,0,0,14
"289",15,0,0,16
"290",15,0,0,16
"291",12,6,1,6
"292",12,6,0,14
"293",12,6,0,13
"294",12,6,0,10
"295",12,6,0,12
"296",12,6,0,12
"297",12,6,0,13
"298",12,6,0,13
"299",12,6,0,11
"300",12,6,0,13
"301",6,5,0,6
"302",6,5,1,4
"303",6,5,0,6
"304",6,5,1,5
"305",6,5,1,6
"306",6,5,1,5
"307",6,5,0,5
"308",6,5,0,7
"309",6,5,0,6
"310",6,5,0,6
"311",-7,-4,0,-7
"312",-7,-4,1,-3
"313",-7,-4,1,-3
"314",-7,-4,0,-6
"315",-7,-4,1,-4
"316",-7,-4,1,-6
"317",-7,-4,0,-5
"318",-7,-4,1,-3
"319",-7,-4,1,-4
"320",-7,-4,1,-4
"321",12,2,1,0
"322",12,2,0,13
"323",12,2,0,13
"324",12,2,0,11
"325",12,2,0,12
"326",12,2,0,12
"327",12,2,0,11
"328",12,2,0,11
"329",12,2,0,11
"330",12,2,0,14
"331",6,2,0,7
"332",6,2,1,3
"333",6,2,0,5
"334",6,2,1,3
"335",6,2,0,6
"336",6,2,0,7
"337",6,2,0,4
"338",6,2,0,4
"339",6,2,0,8
"340",6,2,0,5
"341",6,-9,1,-10
"342",6,-9,0,5
"343",6,-9,0,7
"344",6,-9,0,6
"345",6,-9,0,4
"346",6,-9,0,7
"347",6,-9,0,6
"348",6,-9,0,6
"349",6,-9,0,7
"350",6,-9,0,6
"351",5,-3,0,5
"352",5,-3,1,-4
"353",5,-3,0,7
"354",5,-3,0,6
"355",5,-3,0,6
"356",5,-3,0,5
"357",5,-3,0,8
"358",5,-3,0,4
"359",5,-3,0,5
"360",5,-3,0,7
"361",-2,11,1,10
"362",-2,11,0,-3
"363",-2,11,1,10
"364",-2,11,1,11
"365",-2,11,1,12
"366",-2,11,1,10
"367",-2,11,1,10
"368",-2,11,1,11
"369",-2,11,1,9
"370",-2,11,1,11
"371",-1,-9,1,-9
"372",-1,-9,0,-2
"373",-1,-9,0,0
"374",-1,-9,0,-2
"375",-1,-9,0,-2
"376",-1,-9,0,0
"377",-1,-9,0,-1
"378",-1,-9,1,-8
"379",-1,-9,0,-1
"380",-1,-9,0,1
"381",18,-6,0,19
"382",18,-6,0,19
"383",18,-6,0,18
"384",18,-6,0,15
"385",18,-6,0,17
"386",18,-6,0,18
"387",18,-6,0,17
"388",18,-6,0,18
"389",18,-6,0,18
"390",18,-6,0,19
"391",15,-3,0,16
"392",15,-3,0,15
"393",15,-3,0,15
"394",15,-3,0,15
"395",15,-3,0,15
"396",15,-3,0,15
"397",15,-3,0,14
"398",15,-3,0,17
"399",15,-3,0,16
"400",15,-3,0,15
"401",10,9,0,9
"402",10,9,1,10
"403",10,9,1,9
"404",10,9,0,9
"405",10,9,1,10
"406",10,9,1,9
"407",10,9,0,8
"408",10,9,1,10
"409",10,9,0,9
"410",10,9,1,10
"411",-4,6,0,-5
"412",-4,6,1,4
"413",-4,6,0,-5
"414",-4,6,1,8
"415",-4,6,1,5
"416",-4,6,0,-6
"417",-4,6,1,8
"418",-4,6,1,4
"419",-4,6,1,6
"420",-4,6,1,5
"421",4,-1,1,-2
"422",4,-1,0,4
"423",4,-1,0,5
"424",4,-1,0,3
"425",4,-1,0,3
"426",4,-1,0,3
"427",4,-1,0,5
"428",4,-1,0,4
"429",4,-1,0,5
"430",4,-1,0,4
"431",-13,8,0,-13
"432",-13,8,1,8
"433",-13,8,1,8
"434",-13,8,1,8
"435",-13,8,1,7
"436",-13,8,1,8
"437",-13,8,1,9
"438",-13,8,1,7
"439",-13,8,1,6
"440",-13,8,1,9
"441",-2,6,0,-2
"442",-2,6,1,4
"443",-2,6,1,7
"444",-2,6,1,6
"445",-2,6,1,7
"446",-2,6,1,7
"447",-2,6,1,7
"448",-2,6,1,6
"449",-2,6,1,6
"450",-2,6,1,5
"451",-2,-2,1,-1
"452",-2,-2,0,-2
"453",-2,-2,1,-3
"454",-2,-2,0,0
"455",-2,-2,0,-2
"456",-2,-2,1,-5
"457",-2,-2,0,-4
"458",-2,-2,1,-3
"459",-2,-2,0,-1
"460",-2,-2,1,-1
"461",1,8,0,0
"462",1,8,1,9
"463",1,8,1,8
"464",1,8,1,7
"465",1,8,1,8
"466",1,8,1,9
"467",1,8,1,6
"468",1,8,1,9
"469",1,8,1,9
"470",1,8,1,7
"471",-2,-7,1,-6
"472",-2,-7,0,-2
"473",-2,-7,0,-4
"474",-2,-7,1,-6
"475",-2,-7,0,-1
"476",-2,-7,1,-6
"477",-2,-7,0,-3
"478",-2,-7,0,-2
"479",-2,-7,0,-3
"480",-2,-7,0,-2
"481",-6,2,1,3
"482",-6,2,0,-6
"483",-6,2,1,3
"484",-6,2,1,1
"485",-6,2,1,2
"486",-6,2,1,2
"487",-6,2,1,3
"488",-6,2,1,4
"489",-6,2,1,3
"490",-6,2,1,3
"491",6,-1,0,7
"492",6,-1,1,0
"493",6,-1,0,7
"494",6,-1,0,6
"495",6,-1,0,6
"496",6,-1,0,7
"497",6,-1,0,5
"498",6,-1,0,8
"499",6,-1,0,5
"500",6,-1,0,5
"501",-4,5,1,6
"502",-4,5,0,-4
"503",-4,5,1,5
"504",-4,5,1,4
"505",-4,5,1,5
"506",-4,5,1,5
"507",-4,5,1,6
"508",-4,5,1,5
"509",-4,5,1,7
"510",-4,5,1,5
"511",2,-10,1,-8
"512",2,-10,0,2
"513",2,-10,0,1
"514",2,-10,0,2
"515",2,-10,0,1
"516",2,-10,0,4
"517",2,-10,0,2
"518",2,-10,0,-1
"519",2,-10,0,4
"520",2,-10,0,1
"521",0,7,0,-1
"522",0,7,1,7
"523",0,7,1,9
"524",0,7,1,8
"525",0,7,1,7
"526",0,7,1,6
"527",0,7,1,7
"528",0,7,1,7
"529",0,7,1,6
"530",0,7,1,8
"531",3,0,1,1
"532",3,0,0,3
"533",3,0,0,4
"534",3,0,0,3
"535",3,0,0,4
"536",3,0,0,3
"537",3,0,0,3
"538",3,0,0,3
"539",3,0,0,4
"540",3,0,0,4
"541",5,3,1,3
"542",5,3,0,6
"543",5,3,0,6
"544",5,3,0,6
"545",5,3,0,4
"546",5,3,0,4
"547",5,3,0,6
"548",5,3,0,5
"549",5,3,0,7
"550",5,3,0,4
"551",4,4,1,5
"552",4,4,0,3
"553",4,4,1,5
"554",4,4,1,3
"555",4,4,1,4
"556",4,4,1,5
"557",4,4,1,3
"558",4,4,1,3
"559",4,4,1,4
"560",4,4,1,5
"561",6,-3,1,-4
"562",6,-3,0,5
"563",6,-3,0,6
"564",6,-3,0,6
"565",6,-3,0,7
"566",6,-3,0,5
"567",6,-3,0,5
"568",6,-3,0,7
"569",6,-3,0,5
"570",6,-3,0,5
"571",-8,-3,0,-9
"572",-8,-3,1,0
"573",-8,-3,1,-2
"574",-8,-3,1,-4
"575",-8,-3,1,-4
"576",-8,-3,0,-8
"577",-8,-3,1,-5
"578",-8,-3,1,-5
"579",-8,-3,1,-3
"580",-8,-3,1,-5
"581",4,-4,1,-3
"582",4,-4,0,4
"583",4,-4,0,5
"584",4,-4,0,4
"585",4,-4,0,6
"586",4,-4,0,4
"587",4,-4,0,2
"588",4,-4,0,3
"589",4,-4,0,3
"590",4,-4,0,5
"591",5,-6,1,-6
"592",5,-6,0,5
"593",5,-6,0,4
"594",5,-6,0,4
"595",5,-6,0,5
"596",5,-6,0,4
"597",5,-6,0,6
"598",5,-6,0,5
"599",5,-6,0,7
"600",5,-6,0,4
"601",3,4,0,4
"602",3,4,0,2
"603",3,4,1,4
"604",3,4,1,3
"605",3,4,1,3
"606",3,4,1,5
"607",3,4,1,3
"608",3,4,0,3
"609",3,4,1,4
"610",3,4,1,3
"611",-2,-1,0,-2
"612",-2,-1,1,-1
"613",-2,-1,1,-2
"614",-2,-1,1,0
"615",-2,-1,1,-1
"616",-2,-1,0,-3
"617",-2,-1,0,-1
"618",-2,-1,0,-1
"619",-2,-1,0,-1
"620",-2,-1,1,-1
"621",7,8,0,8
"622",7,8,0,5
"623",7,8,0,8
"624",7,8,0,8
"625",7,8,0,6
"626",7,8,1,8
"627",7,8,1,8
"628",7,8,1,8
"629",7,8,1,7
"630",7,8,1,8
"631",-6,5,1,4
"632",-6,5,0,-6
"633",-6,5,1,7
"634",-6,5,1,5
"635",-6,5,1,5
"636",-6,5,1,4
"637",-6,5,1,4
"638",-6,5,1,4
"639",-6,5,1,6
"640",-6,5,1,5
"641",-5,-4,0,-4
"642",-5,-4,1,-4
"643",-5,-4,0,-5
"644",-5,-4,1,-4
"645",-5,-4,1,-2
"646",-5,-4,1,-4
"647",-5,-4,1,-4
"648",-5,-4,1,-6
"649",-5,-4,1,-4
"650",-5,-4,1,-4
"651",-9,15,0,-9
"652",-9,15,1,14
"653",-9,15,1,16
"654",-9,15,1,16
"655",-9,15,1,14
"656",-9,15,1,15
"657",-9,15,1,14
"658",-9,15,1,14
"659",-9,15,1,16
"660",-9,15,1,16
"661",6,16,1,14
"662",6,16,1,15
"663",6,16,1,16
"664",6,16,1,16
"665",6,16,1,17
"666",6,16,1,16
"667",6,16,1,16
"668",6,16,1,15
"669",6,16,1,18
"670",6,16,1,15
"671",-3,-4,0,-4
"672",-3,-4,1,-3
"673",-3,-4,1,-4
