Participant,ucb,decay,Optimal Likelihood
1.0,1.5992100937562788,0.5110227250841531,239.93356382213182
2.0,2.5757997309160894,0.6429724347914483,750.5243729002528
3.0,1.1023962893681651,0.29722087034379646,227.1767872308329
4.0,1.3522778617902773,0.7200222714866801,467.97128904883044
5.0,1.5201035419353743,0.3001072756950173,404.06580058048496
6.0,1.5122331812564438,0.8546455386051969,759.0374628308336
7.0,2.575799972189033,0.8783059595461132,357.0275231031065
8.0,2.350387551603765,0.29840709720734054,277.894356247636
9.0,2.2026633878124287,0.30032649035399417,607.6665956437125
10.0,2.051788654471389,0.9999999700466811,229.73511739708727
11.0,2.575799730904533,0.9994541814307718,870.3338399664756
12.0,1.6460397250597145,0.6212168576755577,716.1509794784594
13.0,2.5757997309160894,0.711209318572299,434.868115570772
14.0,2.575799730904533,0.9995164097589053,300.9914427667205
15.0,2.5757997309160894,0.00019703662365132187,426.23109240257
16.0,2.575799730904533,0.9994541814307718,961.9051306720311
17.0,1.977842280481965,0.7669695840353644,274.4129540380479
18.0,2.5757997309160894,0.00021340013230275996,457.1676749936908
19.0,1.77147986857329,0.24640099136003338,281.7570554169288
20.0,2.4604765791012797,0.2997319461592035,283.4480792637086
21.0,2.575799973314707,0.9997700199135605,296.88554113159654
22.0,1.750439125982066,0.29992667711538096,329.1475245847188
23.0,2.0831173485728036,0.6988870724539434,247.67785881507206
24.0,2.575043501295183,0.2461062654840006,348.5492051217901
25.0,2.5757997309160894,0.5555204010185212,295.6118889831426
26.0,0.9189758469081024,0.8579277131678632,203.1256015113026
27.0,1.6983860402799662,0.29997728979167965,441.10422763481296
28.0,2.358425917721145,0.9999999524917191,291.91952992193023
29.0,2.527379583591734,0.9999999359182827,569.2759598576647
30.0,2.5750181292046794,0.5221514392028596,683.58623207092
31.0,2.5757997309160894,0.00045609241487769585,685.5288468498561
32.0,2.075572325634258,0.8966169801062348,690.6228011571524
33.0,1.7723429479296884,0.7867037032302802,180.57682266906863
34.0,1.224673439537123,0.29947358240262945,440.34238140808395
35.0,2.5757997309160894,0.00039883914513530336,877.091399230271
36.0,1.5271331843041362,0.5952134838465559,265.35332114249593
37.0,2.5757997309160894,0.896314691748162,625.2351510150418
38.0,1.3601094408622023,0.6955839877708992,323.6024623800685
39.0,2.575299561778257,0.6346738272049426,599.6269425849663
40.0,2.5757996731714323,0.9602749855636872,475.984156647652
41.0,0.9441006261028916,0.8364283823956381,272.51703307667987
42.0,2.57579968252157,0.9995083023394461,1135.1783380099998
43.0,2.575799730907951,0.7789658981891179,727.4849263350868
44.0,2.5757997309160894,0.00021340013230275996,579.9996203802566
